algo,method,users,seed,traffic,weight_name,weights,weight_se,weight_ee,weight_blocking,blocking_rate,spectral_efficiency,energy_efficiency,total_power,total_power_w,qos_violations,episode_reward,epsilon,train_steps,loss,mean_q_value,invalid_action_rate,replay_buffer_size,served_users,blocked_users,objective,served_users_std,blocked_users_std,blocked_reject_action,blocked_reject_action_std,blocked_occupied_channel,blocked_occupied_channel_std,blocked_qos,blocked_qos_std,qos_violations_std,blocking_rate_std,spectral_efficiency_std,energy_efficiency_std,total_power_w_std,objective_std,episode_reward_std,mean_q_value_std,invalid_action_rate_std,candidate_steps,candidate_steps_std,sage_steps,sage_steps_std,hotspot_threshold,eval_episodes,candidate_min_users,candidate_min_remaining,candidate_min_peak_load,selector_reject_actions,selector_reject_actions_std,selector_margin,selector_margin_std,selector_tolerance,selector_evaluated_actions,selector_evaluated_actions_std,selector_top_k
dqn,dqn,150,2,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.372,292.9148347293346,0.1174579314911151,2506.5437969920285,2506.5437969920285,0.0,83.2,0.0,15000,0.1529395981012164,8.581782093048096,0.3137860082304526,10000.0,94.2,55.8,0.4537553009730319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,150,2,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3393333333333334,312.4946780394061,0.1000314507800103,3140.3682023623865,3140.3682023623865,0.0,94.1,0.0,15000,0.202784408185933,11.662299028396609,0.0898765432098765,10000.0,99.1,50.9,0.4809123190627828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,200,0,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.408,334.6735362108774,0.538491195976401,623.5523906853357,623.5523906853357,0.0,110.2,0.0,20000,0.1303810112178325,7.442773388624191,0.3978395061728395,10000.0,118.4,81.6,0.47772375572011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,200,0,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3435,377.86998550202895,0.1187322163915307,3201.315731075233,3201.315731075233,0.0,124.8,0.0,20000,0.1552327598631382,10.784659224510191,0.1202469135802469,10000.0,131.3,68.7,0.533513775840793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,200,1,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4439999999999999,322.6886558515004,0.3278056480161532,987.9509699611448,987.9509699611448,0.0,101.4,0.0,20000,0.1369998547434806,7.471426271259783,0.3795061728395061,10000.0,111.2,88.8,0.4551511177874062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,200,1,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.327,404.1905055510198,0.2644559885384869,1530.3799486576906,1530.3799486576906,0.0,129.2,0.0,20000,0.1549532607197761,10.061243443489074,0.1265432098765432,10000.0,134.6,65.4,0.5454334460363962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,200,2,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.45,315.10321712809247,0.1338577896939465,2412.4874796212684,2412.4874796212684,0.0,101.2,0.0,20000,0.1461545966565609,7.114844522416592,0.3818518518518519,10000.0,110.0,90.0,0.4462911748003379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,200,2,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.39,367.5586083148064,0.737108170631483,504.1037073872852,504.1037073872852,0.0,118.7,0.0,20000,0.1671353857219219,10.776461799860002,0.1062037037037037,10000.0,122.0,78.0,0.5083432939868635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnn_topk10_selector_sage_candidate,gnn_topk10_selector_sage_candidate,25,0,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,148.24745468815354,5.252097318573564,28.529822128134704,28.529822128134704,0.0,25.0,0.0,0,,,0.0777777777777777,,25.0,0.0,0.4714620381250545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.151271681856299,0.5562838743367085,3.3806604047892987,0.0044497067409713,0.0,,0.0247803608515631,14.9,2.0789954839350235,10.1,2.0789954839350235,,10.0,,,,0.0,0.0,0.0005307140441588,0.0002556572581141,0.0,19.436,0.1352528496311018,10.0
gnn_topk10_selector_sage_candidate,gnn_topk10_selector_sage_candidate,25,0,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,167.77425093909883,3.662704789420199,46.86270500279138,46.86270500279138,0.0,25.0,0.0,0,,,0.0202469135802469,,25.0,0.0,0.4833193890865273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2590048532546168,0.559363999226308,7.78362483672469,0.0014358787429109,0.0,,0.0047708236201446,10.8,1.2292725943057183,14.2,1.2292725943057183,,10.0,,,,0.0,0.0,-3.41723945500374e-05,0.0001083034742895,0.0,17.971999999999998,0.0778602737101675,10.0
gnn_topk10_selector_sage_candidate,gnn_topk10_selector_sage_candidate,25,1,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,156.82582530799755,3.910536623141989,41.97103255711131,41.97103255711131,0.0,25.0,0.0,0,,,0.0659259259259259,,25.0,0.0,0.4748841228209478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.669464019930729,0.6760885274371792,12.195290156222075,0.0073939876236275,0.0,,0.0313849079541352,12.9,1.1972189997378646,12.1,1.1972189997378646,,10.0,,,,0.0,0.0,0.000197432029286,0.0002173369534492,0.0,19.304,0.1069994807879408,10.0
gnn_topk10_selector_sage_candidate,gnn_topk10_selector_sage_candidate,25,1,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,155.89546707990533,6.136055273517221,25.432455532033675,25.432455532033675,0.0,25.0,0.0,0,,,0.0207407407407407,,25.0,0.0,0.48029082054858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8040997824180685,0.2066819980700925,0.911696311977549,0.0016743404627168,0.0,,0.0062897031027301,14.6,1.2649110640673518,10.4,1.2649110640673518,,10.0,,,,0.0,0.0,0.000280416762367,0.0001032104485741,0.0,17.772,0.0943751379689935,10.0
gnn_topk10_selector_sage_candidate,gnn_topk10_selector_sage_candidate,25,2,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,152.5929018638961,5.33963919929066,29.646049894151545,29.646049894151545,0.0,25.0,0.0,0,,,0.0664197530864197,,25.0,0.0,0.4753264159957207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.595047162774937,0.8985429724674878,7.174257629267866,0.0039344025379382,0.0,,0.0196309668169614,14.7,1.766981104093143,10.3,1.766981104093143,,10.0,,,,0.0,0.0,0.0004418535695681,0.0003108055153183,0.0,18.812,0.1347260595100704,10.0
gnn_topk10_selector_sage_candidate,gnn_topk10_selector_sage_candidate,25,2,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,157.74267973536703,5.057143173398631,34.18113883008419,34.18113883008419,0.0,25.0,0.0,0,,,0.0209876543209876,,25.0,0.0,0.4788331863722465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.188550137960894,1.3326663760939848,12.982090673478538,0.0015989266305558,0.0,,0.006076058872524,16.1,1.7919573407620817,8.9,1.7919573407620817,,10.0,,,,0.0,0.0,0.0003911945908445,0.0001900144747375,0.0,19.728,0.1011928851253881,10.0
gnn_topk10_selector_sage_candidate,gnn_topk10_selector_sage_candidate,50,0,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,241.34512913301623,3.745393874897312,65.73814968245463,65.73814968245463,0.0,49.9,0.0,0,,,0.1406172839506173,,50.0,0.0,0.5448581461522283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.73853699499212,0.5737253516486751,10.06770514569457,0.0096091095878859,0.3162277660168379,,0.0310499213178733,35.4,2.7568097504180447,14.6,2.7568097504180447,,10.0,,,,0.0,0.0,0.0008263746004902,0.0002578504671235,0.0,19.016,0.2015054451980005,10.0
gnn_topk10_selector_sage_candidate,gnn_topk10_selector_sage_candidate,50,0,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,303.88302226880995,3.099962759980905,112.56662043455938,112.56662043455938,0.0,50.0,0.0,0,,,0.0397530864197531,,50.0,0.0,0.595180192890622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.005648511723258,1.1951730404583016,43.55876807713322,0.007772374520374,0.0,,0.0062897031027301,27.7,2.9458068127047605,22.3,2.9458068127047605,,10.0,,,,0.0,0.0,0.0001829150214587,0.0001715491394191,0.0,19.04,0.0748331477354786,10.0
gnn_topk10_selector_sage_candidate,gnn_topk10_selector_sage_candidate,50,1,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,244.62807653301653,4.088065904503166,62.17323861838727,62.17323861838727,0.0,49.8,0.0,0,,,0.1238271604938271,,50.0,0.0,0.5485458024011336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.127248131093324,0.7476022503996143,14.898155147297947,0.0120584285350937,0.4216370213557839,,0.0341838850025783,28.4,2.7968235951204043,21.6,2.7968235951204043,,10.0,,,,0.0,0.0,0.0004100971426673,0.0001207677993894,0.0,18.750000000000004,0.1897952112731567,10.0
gnn_topk10_selector_sage_candidate,gnn_topk10_selector_sage_candidate,50,1,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,298.2861073101018,5.273816761811085,56.70306074652198,56.70306074652198,0.0,50.0,0.0,0,,,0.0422222222222222,,50.0,0.0,0.5965545804301156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.322560298068383,0.3147337093966438,3.133438020336897,0.0080771782540504,0.0,,0.0092715967187746,34.1,1.9692073983655909,15.9,1.9692073983655909,,10.0,,,,0.0,0.0,0.0004309774091133,0.0001119907347515,0.0,18.73,0.1020892855407576,10.0
gnn_topk10_selector_sage_candidate,gnn_topk10_selector_sage_candidate,50,2,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,246.1012901225293,3.2890559870754346,78.05743819499344,78.05743819499344,0.0,49.7,0.0,0,,,0.1304938271604938,,50.0,0.0,0.5475540083995394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.041596455276569,0.637738593914836,19.39416010581216,0.0112160346244321,0.9486832980505138,,0.0208950591956362,29.8,2.250925735484551,20.2,2.250925735484551,,10.0,,,,0.0,0.0,0.0003684594997279,0.000134203906424,0.0,19.112,0.0885437744847139,10.0
gnn_topk10_selector_sage_candidate,gnn_topk10_selector_sage_candidate,50,2,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,311.9082029397184,2.271767684494091,160.22583734820574,160.22583734820574,0.0,50.0,0.0,0,,,0.0439506172839506,,50.0,0.0,0.5995673015733599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.838420193527259,0.809583140341577,79.15255006520029,0.0052349945622287,0.0,,0.0054345922697017,28.0,2.449489742783178,22.0,2.449489742783178,,10.0,,,,0.0,0.0,0.0001308081110617,0.000146126865393,0.0,19.91,0.0634209919681352,10.0
gnn_topk10_selector_sage_candidate,gnn_topk10_selector_sage_candidate,75,0,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0013333333333333,321.1817077557818,2.040358705094869,162.87715405015524,162.87715405015524,0.0,73.0,0.0,0,,,0.1962139917695473,,74.9,0.1,0.6062079750884151,0.3162277660168379,0.3162277660168379,0.1,0.3162277660168379,0.0,0.0,0.0,0.0,0.0,0.0042163702135578,21.900600766171607,0.3200399969202476,39.20128519599572,0.0179448695653933,1.8257418583505536,,0.0335248833084789,44.3,3.2676869155073254,30.7,3.2676869155073254,,10.0,,,,0.1,0.3162277660168379,0.0003978237509909,0.0001309640791361,0.0,19.288,0.2627264455382921,10.0
gnn_topk10_selector_sage_candidate,gnn_topk10_selector_sage_candidate,75,0,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,407.05087288064937,3.72639114021722,115.02583734820578,115.02583734820578,0.0,74.0,0.0,0,,,0.0604115226337448,,75.0,0.0,0.6768530862935613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.418692616468085,0.7754942839028466,32.21638423465897,0.00196536622754,1.0540925533894598,,0.0062825189734836,47.4,4.325634186002223,27.6,4.325634186002223,,10.0,,,,0.0,0.0,0.0004324579399756,0.0001399887387148,0.0,18.12133333333333,0.1455784545176695,10.0
